Rank,Movie,Release Date,Distributor,Genre,MPAA,2017 Gross,Tickets Sold
1,Star Wars Ep. VIII: The Last Jedi,12/15/2017,Walt Disney,Adventure,PG-13,"$517,218,368","57,660,910"
2,Beauty and the Beast,3/17/2017,Walt Disney,Musical,PG,"$504,014,165","56,188,870"
3,Wonder Woman,6/2/2017,Warner Bros.,Action,PG-13,"$412,563,408","45,993,691"
4,Guardians of the Galaxy Vol 2,5/5/2017,Walt Disney,Action,PG-13,"$389,813,101","43,457,424"
5,Spider-Man: Homecoming,7/7/2017,Sony Pictures,Action,PG-13,"$334,201,140","37,257,652"
6,It,9/8/2017,Warner Bros.,Horror,R,"$327,481,748","36,508,556"
7,Thor: Ragnarok,11/3/2017,Walt Disney,Action,PG-13,"$311,225,150","34,696,226"
8,Despicable Me 3,6/30/2017,Universal,Adventure,PG,"$264,624,300","29,501,036"
9,Logan,3/3/2017,20th Century Fox,Action,R,"$226,277,068","25,225,983"
10,The Fate of the Furious,4/14/2017,Universal,Action,PG-13,"$225,764,765","25,168,870"
11,Justice League,11/17/2017,Warner Bros.,Action,PG-13,"$225,546,295","25,144,514"
12,Dunkirk,7/21/2017,Warner Bros.,Action,PG-13,"$188,373,161","21,000,352"
13,Coco,11/22/2017,Walt Disney,Musical,PG,"$179,834,199","20,048,405"
14,The Lego Batman Movie,2/10/2017,Warner Bros.,Adventure,PG,"$175,750,384","19,593,131"
15,Get Out,2/24/2017,Universal,Horror,R,"$175,484,140","19,563,449"
16,The Boss Baby,3/31/2017,20th Century Fox,Adventure,PG,"$175,003,033","19,509,814"
17,Pirates of the Caribbean: Dead Men Tell No Tales,5/26/2017,Walt Disney,Adventure,PG-13,"$172,558,876","19,237,332"
18,Jumanji: Welcome to the Jungle,12/20/2017,Sony Pictures,Adventure,PG-13,"$169,002,557","18,840,864"
19,Kong: Skull Island,3/10/2017,Warner Bros.,Adventure,PG-13,"$168,052,812","18,734,985"
20,Hidden Figures,12/25/2016,20th Century Fox,Drama,PG,"$167,620,331","18,686,770"
21,Cars 3,6/16/2017,Walt Disney,Adventure,G,"$152,901,115","17,045,832"
22,War for the Planet of the Apes,7/14/2017,20th Century Fox,Action,PG-13,"$146,880,162","16,374,600"
23,Split,1/20/2017,Universal,Horror,PG-13,"$138,141,585","15,400,399"
24,Transformers: The Last Knight,6/21/2017,Paramount Pictures,Action,PG-13,"$130,168,683","14,511,558"
25,Wonder,11/17/2017,Lionsgate,Drama,PG,"$121,559,294","13,551,760"
26,La La Land,12/9/2016,Lionsgate,Musical,PG-13,"$116,833,190","13,024,881"
